0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
0602-@	昏	昏	hūn	ohnmächtig, dunkel, verwirrt	ohnmächtig	Sippe (氏) + Sonne (日)	Sippe + Sonne	Wenn die 日 Sonne untergeht, geht sie zurück zu "ihrer 氏 Wurzel" (氏 Sippe = eigene Wurzeln). Nach Sonnenuntergang wird es 昏 dunkel; genau wie bei einer 昏 Ohnmacht.	昏迷 = hūn mí = bewußtlos, Ohnmacht // 頭昏眼花 = tóu hūn yǎn huā = der Kopf brummt, die Augen flackern [Redensart]
0603-@	婚	婚	hūn	(heiraten)	heiraten	Frau (女) + ohnmächtig (昏)	Frau + ohnmächtig	Zu diesem Zeichen sind zwei Erklärungen denkbar: Die 女 Frau wurde traditionell zu 昏 Sonnenuntergang zur 婚 Heirat geführt. Oder: Wenn ein Mann eine 女 Frau 婚 heiratet, muß er im Kopf verwirrt oder 昏 ohnmächtig sein ...	結婚 = jié hūn = heiraten, sich verheiraten // 婚姻 = hūn yīn = Ehe, Heirat // 離婚 = lí hūn = sich scheiden lassen; Scheidung
0604-1	氐				Basis/Grund*			氏 Sippe bedeutet (eigene) Wurzeln; ein zusätzlicher 一 Strich unten kennzeichnet den Boden. Diese Komponente bedeutet 氐 Basis oder 氐 Grund.	
0604-@	低	低	dī	niedrig, tief	niedrig/herunterbeugen	Person (人亻) + Basis/Grund* (氐)	Person + Basis/Grund*	Eine 亻 Person 低 beugt sich 低 tief herunter zum 氐 Grund.	降低 = jiàng dī = reduzieren, senken, herabsetzen // 低下 = dī xià = niedrig, unterhalb // 低三下四 = dī sān xià sì = unterwürfig, niedrig [Redensart]
0605-@	底	底	dǐ	Sohle, Boden, Erde	Boden/Grund	Schutzdach* (广) + Basis/Grund* (氐)	Schutzdach* + Basis/Grund*	Ein 广 Schutzdach bzw. Haus benötigt immer eine 氐 Basis: den festen 底 Boden.	到底 = dào dǐ = schließlich, endlich, eigentlich // 徹底 = chè dǐ = gründlich, radikal // 底下 = dǐ xià = unterhalb
0606-@	抵	抵	dǐ	stützen, sich widersetzen, ausgleichen	stützen/widersetzen	Hand (手扌) + Basis/Grund* (氐)	Hand + Basis/Grund*	Die 扌 Hände einsetzen als eine Art 氐 Basis: entweder (unter-) 抵 stützend oder 抵 widersetzend.	抵押品 = dǐ yā pǐn = Pfand, Sicherheit // 抵抗 = dǐ kàng = sich widersetzen // 抵賴 = dǐ lài = abstreiten, bestreiten, leugnen
0607-@	能	能	néng	fähig, können	fähig/können	privat* (厶) + Fleisch (肉月) + Löffel/kopfüber* (匕) + Löffel/kopfüber* (匕)	privat* + Fleisch + Löffel/kopfüber* + Löffel/kopfüber*	Bild eines Bären mit 月 Fleisch im Maul, der Kopf heute verändert zur Komponente "厶 privat" und die Klauen heute als zwei 匕匕 Löffel; ein Bär ist ein sehr 能 fähiges Tier.	可能 = kě néng = vielleicht, möglicherweise // 能力 = néng lì = Fähigkeit, Kraft // 能夠 = néng gòu = können; im Stande sein
0608-@	熊	熊	xióng	Bär	Bär	fähig/können (能) + Feuer (火灬)	fähig/können + Feuer	Dsa Bild eines Bären, einem "能 fähigen" Tier, zusammen mit dem Zeichen für 灬 Feuer: entweder gebratenes 熊 Bären-Fleisch, oder Zeichen für die Angriffslustigkeit von 熊 Bären.	熊貓 = xióng māo = Panda // 北極熊 = běi jí xióng = Eisbär // 熊熊烈火 = xióng xióng liè huǒ = lodernde Flamme
0609-@	川	川	chuān	Fluß	Strom/Ebene			Bild strömenden Wassers. Als Komponente auch als 巛 dargestellt (巛 kann auch Haare bedeuten).	四川 = sì chuān = die Provinz Sichuan // 川菜館 = chuān cài guǎn = Sichuan-Restaurant // 冰川 = bīng chuān = Gletscher
0610-@	災	灾	zāi	Unglück	Unglück	Strom/Ebene (川巛) + Feuer (火灬)	Strom/Ebene + Feuer	災 Unglücke sind z. B. Überflutungen durch Wasser- 巛 Ströme oder 火 Feuer.	災害 = zāi hài = Unheil, Katastrophe // 水災 = shuǐ zāi = Überschwemmung // 災難 = zāi nàn = Katastrophe, Desaster, Not, Leid
0611-@	腦	脑	nǎo	(Gehirn)	Gehirn	Fleisch (肉月) + Strom/Ebene (川巛) + Gehirn/Kopf* (囟甶田)	Fleisch + Strom/Ebene + Gehirn/Kopf*	Ein 囟 Kopf mit einigen Haaren (ähnlich einem 巛  Strom): drin ist das 腦 Gehirn, was auch durch das 月 Fleisch-Radikal verdeutlicht wird.	電腦 = diàn nǎo = Computer // 腦袋 = nǎo dài = Kopf // 腦子 = nǎo zi = Hirn, Denkvermögen, Gedächtnis
0612-@	州	州	zhōu	(Provinz)	Provinz	Tropfen* (丶) + Strom/Ebene (川巛)	Tropfen* + Strom/Ebene	Drei Inseln (ähnlich drei 丶 Tropfen) im 川 Strom: isolierte Gebiete. Heute in der Bedeutung 州 Provinz, Verwaltungsbezirk.	廣州 = guǎng zhōu = Guangzhou, Kanton, [chin. Küstenstadt] // 蘇州 = sū zhōu = Suzhou [Stadt in Jiangsu] // 杭州 = háng zhōu = [Stadtname: Hangzhou]
0613-@	洲	洲	zhōu	(Kontinent)	Kontinent	Wasser (水氵) + Provinz (州)	Wasser + Provinz	Gebiete zwischen Wasser oder (sehr große) 州 Provinzen, in diesem Zeichen mit noch mehr 氵 Wasser: 洲 Kontinente zwischen den Ozeanen.	亞洲 = yà zhōu = Asien // 中美洲 = zhōng měi zhōu = Mittelamerika // 北美洲 = běi měi zhōu = Nordamerika
0614-1	聿				schreibende-Hand*			Eine 彐 Hand (hier mit 3 Fingern) hält einen 丨 stock-artigen Pinsel und schreibt auf 二 zwei Bambusstreifen.	
0614-@	書	书	shū	Buch	Buch	schreibende-Hand* (聿) + Mund-mit-Zunge* (曰)	schreibende-Hand* + Mund-mit-Zunge*	Eine 聿 schreibende Hand schreibt das auf, was mit dem 曰 Mund (mit Zunge) gesagt wird: ein 書 Buch.	圖書館 = tú shū guǎn = Bibliothek // 讀書 = dú shū = studieren, eine Schule besuchen // 書包 = shū bāo = Schulmappe, Büchertasche
0615-@	建	建	jiàn	bauen, gründen	bauen	schreibende-Hand* (聿) + gehen* (廴)	schreibende-Hand* + gehen*	Zuerst wird ein Plan gemacht (nachgedacht und 聿 handgeschrieben), dann 廴 geht man raus und 建 baut/errichtet das Geplante.	建設 = jiàn shè = errichten, aufbauen; Aufbau // 封建 = fēng jiàn = feudal // 建立 = jiàn lì = etw. gründen, errichten
0616-@	健	健	jiàn	(gesund)	gesund	Person (人亻) + bauen (建)	Person + bauen	Eine 亻 Person, die "aufge- 建 baut" steht, ist 健 gesund (im Gegensatz zu einer gebeugten Person).	健康 = jiàn kāng = Gesundheit // 健怡可樂 = jiàn yí kě lè = Cola Light, Diät-Cola // 身心健康 = shēn xīn jiàn kāng = körperlich und seelisch gesund
0617-@	鍵	键	jiàn	(Taste, Keil)	Taste	Gold/Metall (金) + bauen (建)	Gold/Metall + bauen	Etwas aus 金 Metall, das sich außerhalb einer Oberfläche "auf- 建 baut", d. h. herausragt: eine 鍵 Taste, ein Schließbolzen, ein Keil.	關鍵 = guān jiàn = Angelpunkt, Schlüssel, das A und O // 按鍵 = àn jiàn = eine Taste drücken; Tastendruck // 鍵盤 = jiàn pán = Tastatur; Keyboard
0618-@	畫	画	huà	Bild, malen	Bild/malen	schreibende-Hand* (聿) + Reisfeld (田) + eins (一)	schreibende-Hand* + Reisfeld + eins	Eine 聿 schreibende Hand 畫 malt ein 畫 Bild oder zeichnet eine Karte eines 田 Reisfelds auf 一 ein Papier. 畵 ist eine (ungebräuchlichere) Variante.	畫兒 = huà r = Bild, Gemälde // 畫報 = huà bào = Illustrierte // 畫家 = huà jiā = Kunstmaler
0619-@	筆	笔	bǐ	Stift, Schriebzeug, Strich, [ZEW für Bilder]	Schreibgerät	Bambus (竹) + schreibende-Hand* (聿)	Bambus + schreibende-Hand*	筆 Schreibpinsel bzw. -geräte sind traditionell aus 竹 Bambus und 毛 Tierhaaren. Die einfache Form 笔 stammt aus der Song-Dynastie und zeigt genau dies. Die trad. Form 筆 zeigt 竹 Bambus und die 聿 schreibende Hand.	鉛筆 = qiān bǐ = Bleistift // 筆記本 = bǐ jì běn = Notizbuch; Notebook [Computer] // 鋼筆 = gāng bǐ = Federhalter, Füller, Füllfederhalter
0620-@	簡	简	jiǎn	(einfach)	einfach	Bambus (竹) + Zwischenraum (間)	Bambus + Zwischenraum	Nur wenn Zeichen sauber mit 間 Zwischenräumen auf 竹 Bambus-Stäbchen geschrieben werden, ist der Text 簡 einfach zu lesen.	簡單 = jiǎn dān = einfach, gewöhnlich, alltäglich (sein) // 簡體字 = jiǎn tǐ zì = Kurzzeichen, vereinfachtes Zeichen // 簡直 = jiǎn zhí = geradezu, einfach
0621-@	律	律	lǜ	(Gesetz, Regel, einschränken)	Regel/Gesetz	Linie/gehen (行彳) + schreibende-Hand* (聿)	Linie/gehen + schreibende-Hand*	Die 律 Regeln, die 律 Gesetze befolgen heißt, so durchs Leben zu 彳 gehen, wie es von einer 聿 schreibenden Hand aufgeschrieben (und beschlossen) wurde.	法律 = fǎ lǜ = Gesetz, Recht // 律師 = lǜ shī = Rechtsanwalt // 規律 = guī lǜ = Gesetz
0622-@	津	津	jīn	Furt	Furt	Wasser (水氵) + schreibende-Hand* (聿)	Wasser + schreibende-Hand*	Eine 津 Furt ist eine Untiefe in einem Flußlauf, an der das Ge- 氵 wässer zu Fuß oder mit Fahrzeugen durchquert werden kann. An solchen Stellen entstanden oft Städte, in denen viele 聿 schreibende Hände tätig sind.	天津 = tiān jīn = Tianjin, [chin. Küstenstadt] // 津貼 = jīn tiē = Subvention, Zuschuß, Beihilfe // 津液 = jīn yè = Speichel, Körperflüssigkeit
0623-@	比	比	bǐ	vergleichen, verglichen mit	vergleichen	Löffel/kopfüber* (匕) + Löffel/kopfüber* (匕)	Löffel/kopfüber* + Löffel/kopfüber*	Zwei Personen (ähnlich sitzend wie in 北, nicht 匕  kopfüber wie in 化, sondern hintereinander), die 比 verglichen werden können.	比較 = bǐ jiào = verhältnismäßig, relativ; vergleichen // 比賽 = bǐ sài = Wettkampf, Wettbewerb // 比例 = bǐ lì = Maßstab, Proportion
0624-@	批	批	pī	kritisieren, beurteilen; Menge [ZEW]	kritisieren/Menge	Hand (手扌) + vergleichen (比)	Hand + vergleichen	批 Kritisieren bedeutet etwas Schlechtes mit etwas Gutem zu 比 vergleichen und dann mit den 扌 Händen agieren: z. B. eine Ohrfeige austeilen. Auch eine 批 Menge wird nach 比 Vergleich mit den 扌 Händen festgelegt.	批評 = pī píng = kritisieren; Kritik // 大批 = dà pī = große Menge, große Anzahl // 批判 = pī pàn = verurteilen, kritisieren
0625-1	尸				Leiche/Körper*			Bild einer sitzenden oder liegenden Person, die nach links schaut: eine 尸 Leiche, ein 尸 Körper.	
0625-@	屁	屁	pì	Furz	Furz/Hintern	Leiche/Körper* (尸) + vergleichen (比)	Leiche/Körper* + vergleichen	Zwei Personen 比 vergleichen die Gasentwicklung ihrer 尸 Körper: wer 屁 furzt am lautesten aus seinem 屁 Hintern?	屁話 = pì huà = dummes Zeug, Unsinn // 打屁股 = dǎ pì gǔ = den Hintern versohlen, verhauen // 放屁 = fàng pì = furzen
0626-@	尿	尿	niào	Harn, Urin; Wasser lassen	Urin	Leiche/Körper* (尸) + Wasser (水氵)	Leiche/Körper* + Wasser	水 Wasser, das den menschlichen 尸 Körper verläßt: 尿 Urin.	換尿布 = huàn niào bù = Windeln wechseln // 糖尿病 = táng niào bìng = Diabetes, Zuckerkrankeit // 尿布 = niào bù = Windel
0627-1	皆				jeder/alle*			白 ist hier nicht weiß, sondern ein 曰 Mund. 比 Verschiedene Personen reden 皆 alle mit einem 曰 Mund. Vgl. auch das Zeichen "諧 harmonisch".	
0627-@	諧	谐	xié	harmonisch	harmonisch	Rede (言) + jeder/alle* (皆)	Rede + jeder/alle*	比 Verschiedene Personen reden 皆 alle mit "einem 曰 Mund" - sie 言 reden 諧 harmonisch.	和諧無間 = hé xié wú jiàn = in perfekter Harmonie [Redensart] // 和諧 = hé xié = harmonisch; Harmonie
0628-@	階	阶	jiē	Stufe(n), Treppe; Rang	Stufe/Treppe	Hügel* (阜阝 (li)) + jeder/alle* (皆)	Hügel* + jeder/alle*	階 Treppenstufen, die auf einen 阝 Hügel führen, von 皆 allen benutzt.	階段 = jiē duàn = Stufe, Phase, Etappe, Stadium, Periode // 階級 = jiē jí = (soziale) Klasse, Stufe // 工人階級 = gōng rén jiē jí = Arbeiterklasse
0629-1	昆				unterschiedslos*			Unter dem Licht der 日 Sonne sind 比 unterschiedliche Menschen alle 昆 gleich.	
0629-@	棍	棍	gùn	Stock, Stange, Halunke	Stange	Baum/Holz (木) + unterschiedslos* (昆)	Baum/Holz + unterschiedslos*	Eine 棍 Stange, ein 棍 Stock ist ein bearbeitetes Stück 木 Holz, das 昆 keine Unterschiede im Durchmesser aufweist. Auch in der Bedeutung 棍 Halunke, die oft 棍 Stöcke für ihre Bosheiten verwenden.	棍子 = gùn zi = Knüppel, Stange, Stock // 光棍 = guāng gùn = Junggeselle
0630-@	混	混	hùn	mischen, vermischen, gedankenlos	mischen	Wasser (水氵) + unterschiedslos* (昆)	Wasser + unterschiedslos*	Eine 氵 wässrige Flüssigkeit, alle Bestandteile gut 混 vermischt, zeigt 昆 keine Unterschiede mehr. Gut 混 vermischt bedeutet auch "混 durcheinander", dies wiederum kann auch als "混 gedankenlos" interpretiert werden.	混合物 = hùn hé wù = Mischung, Mixtur; Gemisch, Gemenge // 混合 = hùn hé = mischen; Mischung; hybrid, zusammengesetzt // 混亂 = hùn luàn = Durcheinander, Verwirrung, Anarchie
0631-1	鹿				Hirsch*			Bild eines 鹿 Hirsches.	
0631-2	丽				Hirschgeweih*			Bild eines 丽 Hirschgeweihs.	
0631-@	麗	丽	lì	(schön, hübsch)	hübsch	Hirschgeweih* (丽) + Hirsch* (鹿)	Hirschgeweih* + Hirsch*	Ein 鹿 Hirsch mit einem prächtigen 丽 Geweih ist 麗 schön, hübsch.	美麗 = měi lì = schön, hübsch // 麗人 = lì rén = eine schöne Frau, eine Schönheit // 華麗 = huá lì = prachtvoll, prächtig, schön
0632-@	塵	尘	chén	Staub	Staub	Hirsch* (鹿) + Erde (土)	Hirsch* + Erde	Die aufgewirbelte 土 Erde hinter rennenden 鹿 Hirschen: viel 塵 Staub. Die vereinfachte Version zeigt Staub als "小 kleine 土 Erde" und stammt aus dem 17. Jh.	吸塵機 = xī chén jī = Staubsauger // 除塵 = chú chén = (ab)stauben // 塵土 = chén tǔ = Staub
0633-@	灰	灰	huī	grau, Staub, Asche	Asche	linke-Hand* (丿 plus 一) + Feuer (火灬)	linke-Hand* + Feuer	Das, was die (linke) Hand (丿 plus 一) nach dem Erlöschen des 火 Feuers anfassen kann: 灰 Asche.	灰心 = huī xīn = entmutigt, mutlos // 心灰意冷 = xīn huī yì lěng = niedergeschlagen, deprimiert sein [Redensart] // 灰色 = huī sè = grau, pessimistisch, obskur
0634-@	甘	甘	gān	süß, willig, freiwillig	süß/willig	Mund-mit-Zunge* (曰) + eins (一)	Mund-mit-Zunge* + eins	Bild eines 曰 Mundes (mit Zunge) mit 一 einem Etwas in ihm, wahrscheinlich etwas Angenehmes, etwas 甘 Süßes.	甘心 = gān xīn = willig, gewillt, aus eigenem Antrieb
0635-@	甜	甜	tián	süß	süß	Zunge (舌) + süß/willig (甘)	Zunge + süß/willig	Etwas 甘 Süßes auf der 舌 Zunge: 甜 süß.	飯後甜點 = fàn hòu tián diǎn = Nachtisch, Nachspeise, Dessert // 甜美 = tián měi = süß, lieblich // 甜言蜜語 = tián yán mì yǔ = honigsüße Worte [Redensart]
0636-@	香	香	xiāng	wohlriechend, duftend	duftend	Getreide* (禾) + süß/willig (甘)	Getreide* + süß/willig	Der 甘 süße (vereinfacht zu einem 日 Mund mit Zunge) 香 Duft des 禾 Getreides.	香蕉 = xiāng jiāo = Banane // 香腸 = xiāng cháng = Wurst // 香皂 = xiāng zào = Duftseife, parfümierte Seife
0637-@	共	共	gòng	gemeinsam, kommunistisch	gemeinsam			Bild eines 廿 Gefäßes, das von zwei 廾 Händen 共 gemeinsam gehalten wird.	公共汽車 = gōng gòng qì chē = Autobus, Linienbus // 一共 = yī gòng = insgesamt, alles zusammen genommen // 共同 = gòng tóng = gemeinsam
0638-@	巷	巷	xiàng	Gasse, Weg	Gasse/Weg	gemeinsam (共) + Stadt* (邑阝 (re))	gemeinsam + Stadt*	巷 Gassen sind in der 邑 Stadt (etwas vereinfacht zu 巳) und werden 共 gemeinsam benutzt.	巷子 = xiàng zi = Gasse, Weg // 巷道 = xiàng dào = Gasse, Weg, Durchgang // 巷戰 = xiàng zhàn = Straßenkampf
0639-@	港	港	gǎng	Hafen	Hafen	Wasser (水氵) + Gasse/Weg (巷)	Wasser + Gasse/Weg	In 港 Häfen befinden sich 巷 Gassen oder 巷 Wege aus 氵 Wasser, wo Schiffe anlegen.	港灣 = gǎng wān = natürlicher Hafen // 港口 = gǎng kǒu = Hafen // 香港 = xiāng gǎng = Hongkong
0640-1	敝				schäbig*			Ein 巾 Tuch, welches 八丷 geteilt und 攴攵 geschlagen wurde, ist 敝 schäbig.	
0640-@	幣	币	bì	(Währung)	Währung	schäbig* (敝) + Tuch (巾)	schäbig* + Tuch	Geld bzw. 幣 Währung geht durch viele Hände; Papiergeld ähnelt bald einem 敝 schäbigen 巾 Tuch.	人民幣 = rén mín bì = Renminbi, "Volksgeld", [Währung der VR China] // 新台幣 = xīn tái bì = neuer Taiwan-Dollar, NT$ // 新臺幣 = xīn tái bì = neuer Taiwan-Dollar, NT$
0641-@	毛	毛	máo	Fell, Pelz, Haar; Mao [Währungseinheit, Familienname]	Haare			Ein Bild von Fell- 毛 Haaren. Nicht zu verwechseln mit 手 shǒu (Hand).	毛巾 = máo jīn = Handtuch // 羽毛球 = yǔ máo qiú = Federball, Badminton // 毛病 = máo bìng = Defekt, Schaden, Mangel
0642-@	老	老	lǎo	alt [Personen], geehrt, sehr, immer	alt	Haare (毛) + Löffel/kopfüber* (匕)	Haare + Löffel/kopfüber*	毛 Haare (heute vereinfacht zu 耂), die sich im 老 Alter 匕 verändern (匕 kopfüber als Abkürzung von 化 verändern): sie werden grau oder fallen aus.	老師 = lǎo shī = Lehrer/in, [auch als Anrede, dabei kann Fam.-Name entfallen] // 老虎 = lǎo hǔ = Tiger // 古老 = gǔ lǎo = alt, uralt, altertümlich (sein)
0643-@	姥	姥	lǎo	Großmutter (Mutter der Mutter)	Mutter-der-Mutter	Frau (女) + alt (老)	Frau + alt	Die 姥 Mutter der Mutter, die 姥 Großmutter mütterlicherseits, ist eine 老 alte 女 Frau.	姥姥 = lǎo lǎo = Oma [mütterlicherseits, umgangsspr.]
0644-1	耂				alt*			Eine Abkürzung für 老 alt: 耂.	
0644-@	者	者	zhě	[Nominalsuffix], einer der ...	derjenige-der	alt* (耂) + Mund-mit-Zunge* (曰)	alt* + Mund-mit-Zunge*	耂 Alte Personen, die das Sagen (mit einem 曰 Mund mit Zunge) haben, sind 者 "diejenigen, die" ... etwas können, sagen, tun.	或者 = huò zhě = oder [Aussagen] // 記者 = jì zhě = Journalist // 作者 = zuò zhě = Autor, Verfasser
0645-@	都	都	1) dōu / 2) dū	1) all, ganz [nachgestellt] / 2) Großstadt, Metropole	Großstadt/alle	derjenige-der (者) + Stadt* (邑阝 (re))	derjenige-der + Stadt*	Eine 都 Großstadt ist der Ort, wo alle 者 diejenigen, die fähig sind, leben, und wo 都 alle wichtigen Entscheidungen fallen. Die 阝-Komponente (Stadt) ergänzt die Bedeutung "Großstadt".	連…都… = lián ... dōu ... = sogar // 不都 = bù dōu = nicht alle // 大都 = dà dōu = meistens, allgemein, generell // 首都 = shǒu dū = Hauptstadt // 成都 = chéng dū = Chengdu [Hauptstadt von Sichuan] // 都市 = dū shì = Großstadt, Metropole
0646-@	豬	猪	zhū	Schwein	Schwein	Eber* (豕) + derjenige-der (者)	Eber* + derjenige-der	者 Dasjenige der 豕 Wildschweine/Eber, das gezähmt ist: das (Haus-) 豬 Schwein.	豬頭 = zhū tóu = Schwein, Drecksau [Schimpfwort] // 豬腳 = zhū jiǎo = Schweinefüße, Schweinshaxe // 豬肉 = zhū ròu = Schweinefleisch
0647-@	煮	煮	zhǔ	kochen	kochen	derjenige-der (者) + Feuer (火灬)	derjenige-der + Feuer	Um zu 煮 kochen, benötigt man 灬 Feuer und Kenntnisse, die nur wenige haben: nämlich "者 diejenigen, die ...".	白煮 = bái zhǔ = im klaren Wasser kochen // 煮飯 = zhǔ fàn = Essen/Reis kochen // 煮菜 = zhǔ cài = Essen vorbereiten
0648-@	緒	绪	xù	(Leitfaden, Gemütszustand)	Leitfaden/Gemütszustand	Seide* (糸) + derjenige-der (者)	Seide* + derjenige-der	緒 Leitfaden - eine Kombination von Leitung (= 者 derjenige der die Richtung angibt) und 糸 (Seiden-) Faden. Der 緒 Gemütszustand einer Person ist der (oft nicht zweckmäßige) 緒 Leitfaden für ihre Zukunft.	情緒 = qíng xù = Laune // 就緒 = jiù xù = fertig, in Ordnung // 緒論 = xù lùn = Einleitung, Vorwort
0649-@	著	着	1) zháo / 2) zhe / 3) zhù / 4) zhuó	1) [Kompl. für gelung. Handl.], leiden an / 2) [Aspektpart. für andauernde Handl.] / 3) (deutlich, verfassen, zeigen - auch vereinfacht: 著) / 4) (anlegen, schicken)	manifestieren	Pflanzen/Gras* (艸艹) + derjenige-der (者)	Pflanzen/Gras* + derjenige-der	者 Diejenigen 艹 Pflanzen, die sich "著 manifestieren", da sie besonders sind. Dies ist eines der wenigen Zeichen mit vielen Aussprachen, Bedeutungen und grammatikalischen Funktionen!	著急 = zháo jí = sich aufregen, sich Sorgen machen; besorgt sein // 用不著 = yòng bù zháo = unnötig sein, es lohnt nicht // 著火 = zháo huǒ = Feuer fangen, in Brand geraten // 隨著 = suí zhe = in Übereinstimmung mit, folgen // 接著 = jiē zhe = folgen, fortsetzen, anschließend // 意味著 = yì wèi zhe = bedeuten, implizieren, meinen // 著名 = zhù míng = berühmt, bekannt, renommiert // 顯著 = xiǎn zhù = außerordentlich, bemerkenswert, erheblich // 著作 = zhù zuò = (Buch) schreiben, verfassen; Werk // 著重 = zhuó zhòng = hervorheben, betonen // 穿著 = chuān zhuó = Bekleidung, Aufmachung // 沉著 = chén zhuó = gleichmütig, ruhig und sicher, geistesgegenwärtig
0650-@	暑	暑	shǔ	Hitze	Hitze	Sonne (日) + derjenige-der (者)	Sonne + derjenige-der	者 Diejenige 日 Sonne, die besonders (= stark) ist, resultiert in 暑 Hitze.	放暑假 = fàng shǔ jià = Sommerferien machen/haben // 暑假 = shǔ jià = Sommerferien // 寒暑表 = hán shǔ biǎo = Thermometer
0651-@	堵	堵	dǔ	verstopfen, beklemmend	blockieren	Erde (土) + derjenige-der (者)	Erde + derjenige-der	者 Diejenige 土 Erde, die im Weg ist, verstopft oder 堵 blockiert.	堵車 = dǔ chē = Verkehrsstau [VR China] // 堵住 = dǔ zhù = blockieren, verstopfen // 堵塞 = dǔ sè = blockieren, stauen; Stau
0652-@	提	提	tí	hochheben, in der Hand tragen, abholen, erwähnen	tragen/hochheben	Hand (手扌) + sein (是)	Hand + sein	Wenn etwas in der 扌 Hand 是 ist, dann 提 trägt man es. Manchmal wird es dabei auch 提 hochgehoben.	提高 = tí gāo = etw. anheben, erhöhen, steigern // 提供 = tí gōng = liefern, anbieten // 提前 = tí qián = im voraus, früher als geplant
0653-@	堤	堤	dī	Damm, Deich	Damm/Deich	Erde (土) + sein (是)	Erde + sein	Wo 土 Erde 是 ist, wird Wasser zurückgehalten: ein 堤 Damm oder ein 堤 Deich.	堤岸 = dī àn = Deich, Damm, Böschung
0654-@	匙	匙	1) chí / 2) shi	1) (Löffel) / 2) (Schlüssel)	Schlüssel/Löffel	sein (是) + Löffel/kopfüber* (匕)	sein + Löffel/kopfüber*	匕 Löffel und 匙 Schlüssel verbessern das Da- 是 Sein; mit ihnen kann man zu Genuß und wertvollen Dingen gelangen.	茶匙 = chá chí = Teelöffel // 湯匙 = tāng chí = Suppenlöffel // 鑰匙 = yào shi = Schlüssel // 一串鑰匙 = yī chuàn yào shi = ein Bund Schlüssel
0655-@	兆	兆	zhào	Vorzeichen, Omen, verkünden	Vorzeichen			Das Zeichen zeigt Sprünge in einem Schildkrötenpanzer: 兆 Vorzeichen, denn diese wurden in alter Zeit verwendet, um die Zukunft vorherzusagen.	兆頭 = zhào tóu = Omen // 徵兆 = zhēng zhào = Anzeichen, Omen
0656-@	逃	逃	táo	fliehen, flüchten	flüchten	Vorzeichen (兆) + rasch-gehen* (辵辶)	Vorzeichen + rasch-gehen*	辶 Rasch gehen, um schlechten 兆 Vorzeichen zu entgehen: 逃 flüchten.	逃生 = táo shēng = um sein Leben fliehen // 逃生口 = táo shēng kǒu = Notausgang, Notausstieg // 逃命 = táo mìng = sich durch Flucht retten, um sein Leben rennen
0657-@	跳	跳	tiào	hüpfen, springen	hüpfen/springen	Fuß (足) + Vorzeichen (兆)	Fuß + Vorzeichen	Mit den 足 Füßen 跳 hüpfen oder springen, genau wie irgendwelche Wahrsage-Gegenstände beim Werfen hüpfen und 兆 Vorzeichen für zukünftige Ereignisse sind.	跳舞 = tiào wǔ = tanzen // 跳高 = tiào gāo = Hochsprung // 心驚肉跳 = xīn jīng ròu tiào = angst und bange sein [Redensart]
0658-@	挑	挑	1) tiāo / 2) tiǎo	1) auswählen, aussuchen / 2) anspornen, animieren	auswählen/anspornen	Hand (手扌) + Vorzeichen (兆)	Hand + Vorzeichen	Mit der 扌 Hand ein 兆 Vorzeichen, ein Omen 挑 auswählen (z. B. eine Orakelkarte) und andere 挑 anspornen, danach zu handeln.	挑選 = tiāo xuǎn = wählen, auswählen, aussuchen // 挑染 = tiāo rǎn = Strähnchen färben // 挑揀 = tiāo jiǎn = auslesen, aussuchen, aussondern // 想挑戰嗎？ = xiǎng tiǎo zhàn ma ? = Wetten, daß?; Willst du mich herausfordern? // 挑戰 = tiǎo zhàn = herausfordern; Herausforderung // 挑撥 = tiǎo bō = provozieren, einen Keil treiben zwischen ...
0659-@	桃	桃	táo	Pfirsich	Pfirsich	Baum/Holz (木) + Vorzeichen (兆)	Baum/Holz + Vorzeichen	Der 桃 Pfirsich- Baum ist der 木 Baum der guten 兆 Vorzeichen.	桃子 = táo zi = Pfirsich; bildhübsches Mädchen // 桃花 = táo huā = Pfirsichblüte // 桃園 = táo yuán = Taoyuan [Stadt in Taiwan]
0660-1	舟				Barke*			Abbildung einer 舟 Barke, eines mastlosen Bootes.	
0660-2	八 über 口				Hohlweg*			Wasser wird an Erhebungen 八 geteilt und fließt durch Hohlwege (八 über 口) irgendwohin 口 ab.	
0660-@	船	船	chuán	Schiff, Boot	Schiff	Barke* (舟) + Hohlweg* (八 über 口)	Barke* + Hohlweg*	Eine 舟 Barke, die durch einen (mit Wasser gefüllten) Hohlweg (八 über 口) treibt: ein 船 Boot, ein 船 Schiff.	輪船 = lún chuán = Dampfer // 坐船來 = zuò chuán lái = mit dem Schiff kommen // 船長 = chuán zhǎng = Kapitän
0661-@	沿	沿	yán	entlang	entlang	Wasser (水氵) + Hohlweg* (八 über 口)	Wasser + Hohlweg*	氵 Wasser fließt immer einen Hohlweg (八 über 口) 沿 entlang.	沿著 = yán zhe = längs, entlang // 沿海 = yán hǎi = (Meeres-) Küste, an der Küste // 沿兒 = yán r = Rand, Randzone, Krempe
